genes,reaction,Phase
ACADM,FAOXC170m,G0
ACADM,FAOXC180,G0
ACADM,FAOXC1811601m,G0
ACADM,FAOXC1811602m,G0
ACADM,FAOXC1811603m,G0
ACADM,FAOXC182806m,G0
ACADM,FAOXC18280m,G0
ACADM,FAOXC183803m,G0
ACADM,FAOXC183806m,G0
ACADM,FAOXC18480m,G0
ACADM,FAOXC200180m,G0
ACADM,FAOXC2031836m,G0
ACADM,FAOXC204,G0
ACADM,FAOXC204184m,G0
ACADM,FAOXC2051843m,G0
ACADM,FAOXC2242046m,G0
ACADM,FAOXC2251836m,G0
ACADM,FAOXC2252053m,G0
ACADM,FAOXC226,G0
ACADM,FAOXC226205m,G0
ACADM,FAOXC80,G0
ACADM,PPCOAOm,G0
ACADS,ACOAD1fm,G0
ACADS,FAOXC140,G0
ACADS,FAOXC150m,G0
ACADS,FAOXC160,G0
ACADS,FAOXC16080m,G0
ACADS,FAOXC161802m,G0
ACADS,FAOXC16180m,G0
ACADS,FAOXC180,G0
ACADS,FAOXC1811601m,G0
ACADS,FAOXC1811602m,G0
ACADS,FAOXC1811603m,G0
ACADS,FAOXC182806m,G0
ACADS,FAOXC18280m,G0
ACADS,FAOXC183803m,G0
ACADS,FAOXC183806m,G0
ACADS,FAOXC18480m,G0
ACADS,FAOXC200180m,G0
ACADS,FAOXC2031836m,G0
ACADS,FAOXC204,G0
ACADS,FAOXC204184m,G0
ACADS,FAOXC2051843m,G0
ACADS,FAOXC2242046m,G0
ACADS,FAOXC2251836m,G0
ACADS,FAOXC2252053m,G0
ACADS,FAOXC226,G0
ACADS,FAOXC226205m,G0
ACADS,FAOXC80,G0
ACADS,PPCOAOm,G0
ACADSB,ACOAD10m,G0
ACADSB,ACOAD1fm,G0
ACADSB,PPCOAOm,G0
ACAT1,ACACT10m,G0
ACAT1,ACACT1rm,G0
ACAT2,ACACT1,G0
ACAT2,ACACT1r,G0
ACAT2,ACACT1x,G0
ACLY,ACITL,G0
ACMSD,PCLAD,G0
ACO1,ACONT,G0
ACO2,ACONTm,G0
ACOT12,ACOAHi,G0
ACOT2,PTE2x,G0
ACOT2,PTE3x,G0
ACOT2,PTE4x,G0
ACOT2,PTE5x,G0
ACOX2,ACOX22x,G0
ACOX2,ACOX2x,G0
ACOX3,PEROXx,G0
ACP2,3NTD7l,G0
ACP2,LAPCOAl,G0
ACP2,NTD2l,G0
ACP2,NTD3l,G0
ACP2,NTD4l,G0
ACP2,NTD5l,G0
ACP2,NTD6l,G0
ACP2,NTD7l,G0
ACP2,NTD8l,G0
ACP2,NTD9l,G0
ACSL1,FACOAL150,G0
ACSL1,FACOAL160i,G0
ACSL1,FACOAL161,G0
ACSL1,FACOAL170,G0
ACSL1,FACOAL180i,G0
ACSL1,FACOAL1812,G0
ACSL1,FACOAL1813,G0
ACSL1,FACOAL181i,G0
ACSL1,FACOAL1821,G0
ACSL1,FACOAL1822,G0
ACSL1,FACOAL1831,G0
ACSL1,FACOAL1832,G0
ACSL1,FACOAL184,G0
ACSL1,FACOAL200,G0
ACSL1,FACOAL203,G0
ACSL1,FACOAL204,G0
ACSL1,FACOAL2042,G0
ACSL1,FACOAL204i,G0
ACSL1,FACOAL205,G0
ACSL1,FACOAL224,G0
ACSL1,FACOAL2251,G0
ACSL1,FACOAL2252,G0
ACSL1,FACOAL226,G0
ACSL1,FACOAL240,G0
ACSL1,FACOAL241,G0
ACSL1,FACOAL244_1,G0
ACSL1,FACOAL245_1,G0
ACSL1,FACOAL245_2,G0
ACSL1,FACOAL246_1,G0
ACSL1,FACOAL260,G0
ACSL5,FACOAL160i,G0
ACSL5,FACOAL180i,G0
ACSM1,FACOAL40im,G0
ACSS1,ACCOALm,G0
ACSS1,ACSm,G0
ACY1,ACODA,G0
ACY3,NACASPAH,G0
ACYP2,ACYP,G0
ADA,ADA,G0
ADA,ADAe,G0
ADA,DADA,G0
ADA,DADAe,G0
ADC,ARGDCm,G0
ADCY1,ADNCYC,G0
ADCY10,ADNCYC,G0
ADCY2,ADNCYC,G0
ADCY3,ADNCYC,G0
ADCY4,ADNCYC,G0
ADCY5,ADNCYC,G0
ADCY7,ADNCYC,G0
ADCY8,ADNCYC,G0
ADCY9,ADNCYC,G0
ADH1A,34DHOXPEGOX,G0
ADH1A,ALCD1,G0
ADH1A,ALCD21_D,G0
ADH1A,ALCD21_L,G0
ADH1A,ALCD22_D,G0
ADH1A,ALCD22_L,G0
ADH1A,ALCD2if,G0
ADH1B,34DHOXPEGOX,G0
ADH1B,ALCD1,G0
ADH1B,ALCD21_D,G0
ADH1B,ALCD21_L,G0
ADH1B,ALCD22_D,G0
ADH1B,ALCD22_L,G0
ADH1B,ALCD2if,G0
ADH1C,34DHOXPEGOX,G0
ADH1C,ALCD1,G0
ADH1C,ALCD21_D,G0
ADH1C,ALCD21_L,G0
ADH1C,ALCD22_D,G0
ADH1C,ALCD22_L,G0
ADH1C,ALCD2if,G0
ADH4,34DHOXPEGOX,G0
ADH4,ALCD1,G0
ADH4,ALCD21_D,G0
ADH4,ALCD21_L,G0
ADH4,ALCD22_D,G0
ADH4,ALCD22_L,G0
ADH4,ALCD2if,G0
ADH5,34DHOXPEGOX,G0
ADH5,ALCD1,G0
ADH5,ALCD21_D,G0
ADH5,ALCD21_L,G0
ADH5,ALCD22_D,G0
ADH5,ALCD22_L,G0
ADH5,ALCD2if,G0
ADH5,FALDH,G0
ADH5,LALDO,G0
ADH6,34DHOXPEGOX,G0
ADH6,ALCD1,G0
ADH6,ALCD21_D,G0
ADH6,ALCD21_L,G0
ADH6,ALCD22_D,G0
ADH6,ALCD22_L,G0
ADH6,ALCD2if,G0
ADH7,34DHOXPEGOX,G0
ADH7,ALCD1,G0
ADH7,ALCD21_D,G0
ADH7,ALCD21_L,G0
ADH7,ALCD22_D,G0
ADH7,ALCD22_L,G0
ADH7,ALCD2if,G0
ADHFE1,34DHOXPEGOX,G0
ADHFE1,ALCD1,G0
ADHFE1,ALCD21_D,G0
ADHFE1,ALCD21_L,G0
ADHFE1,ALCD22_D,G0
ADHFE1,ALCD22_L,G0
ADHFE1,ALCD2if,G0
ADSS,ADSS,G0
AGA,GASNASE2ly,G0
AGA,GASNASE3ly,G0
AGA,GASNASEly,G0
AGMAT,AGMTm,G0
AGPAT1,AGPAT1,G0
AGPAT2,AGPAT1,G0
AGPAT4,AGPAT1,G0
AGPAT5,AGPAT1,G0
AGPAT6,AGPAT1,G0
AGPS,AGPSx,G0
AGXT,AGTix,G0
AGXT,SPTix,G0
AGXT2,AGTim,G0
AGXT2L1,AGTim,G0
AHCY,AHC,G0
AHCY,SEAHCYSHYD,G0
AHCYL2,SEAHCYSHYD,G0
AICDA,CYTD,G0
AICDA,CYTDn,G0
AICDA,DCYTD,G0
AICDA,DCYTDn,G0
AK1,ADK1,G0
AK3,ADK3m,G0
AK7,ADK1,G0
AKR1B1,ALR,G0
AKR1B1,ALR2,G0
AKR1B1,ALR3,G0
AKR1B1,ARABR,G0
AKR1B1,GALOR,G0
AKR1B1,LALDO2,G0
AKR1B1,PPDOy,G0
AKR1B1,SBTR,G0
AKR1C1,AKR1C1,G0
AKR1C4,AKR1C41,G0
AKR1C4,AKR1C42,G0
AKR1C4,HSD3A1r,G0
AKR1C4,HSD3A2r,G0
AKR1D1,AKR1D,G0
AKR1D1,AKR1D2,G0
AKR7A2,ALR2,G0
AKR7A2,ALR3,G0
AKR7A2,ARABR,G0
AKR7A2,LALDO2,G0
AKR7A2,LALDO2x,G0
AKR7A2,PPDOx,G0
AKR7A2,PPDOy,G0
AKR7A2,SBTR,G0
ALAS2,ALASm,G0
ALDH18A1,AGPRim,G0
ALDH18A1,G5SDym,G0
ALDH18A1,GCALDDm,G0
ALDH18A1,GLU5Km,G0
ALDH18A1,LCADi_Dm,G0
ALDH18A1,LCADim,G0
ALDH1A1,5HOXINDACTOX,G0
ALDH1A1,ALDD20x,G0
ALDH1A1,ALDD2x,G0
ALDH1A1,BAMPPALDOX,G0
ALDH1A1,GCALDD,G0
ALDH1A1,GLACO,G0
ALDH1A1,IMACTD,G0
ALDH1A1,LCADi,G0
ALDH1A1,LCADi_D,G0
ALDH1A1,NABTNO,G0
ALDH1A1,PYLALDOX,G0
ALDH1A3,34DHPLACOX,G0
ALDH1A3,34DHXMANDACOX,G0
ALDH1A3,3M4HDXPAC,G0
ALDH1A3,3MOX4HOXPGALDOX,G0
ALDH1A3,3MOX4HOXPGALDOX(NADP),G0
ALDH1A3,4HOXPACDOX(NADP),G0
ALDH1A3,ALDD19x,G0
ALDH1A3,ALDD19x(P),G0
ALDH1A3,ALDD2x,G0
ALDH1A3,GCALDD,G0
ALDH1A3,GLACO,G0
ALDH1A3,LCADi,G0
ALDH1A3,LCADi_D,G0
ALDH1A3,MACOXO,G0
ALDH1B1,5HOXINDACTOXm,G0
ALDH1B1,ALDD20xm,G0
ALDH1B1,ALDD2xm,G0
ALDH1B1,BAMPPALDOXm,G0
ALDH1B1,GCALDDm,G0
ALDH1B1,GLACOm,G0
ALDH1B1,IMACTD_m,G0
ALDH1B1,LCADi_Dm,G0
ALDH1B1,LCADim,G0
ALDH1B1,NABTNOm,G0
ALDH1B1,PYLALDOXm,G0
ALDH1L1,FDH,G0
ALDH1L1,FTHFDH,G0
ALDH2,5HOXINDACTOXm,G0
ALDH2,ALDD20xm,G0
ALDH2,ALDD2xm,G0
ALDH2,BAMPPALDOXm,G0
ALDH2,GCALDDm,G0
ALDH2,GLACOm,G0
ALDH2,IMACTD_m,G0
ALDH2,LCADi_Dm,G0
ALDH2,LCADim,G0
ALDH2,NABTNOm,G0
ALDH2,PYLALDOXm,G0
ALDH3A1,34DHPLACOX,G0
ALDH3A1,34DHPLACOX(NADP),G0
ALDH3A1,34DHXMANDACOX,G0
ALDH3A1,3M4HDXPAC,G0
ALDH3A1,3MOX4HOXPGALDOX,G0
ALDH3A1,3MOX4HOXPGALDOX(NADP),G0
ALDH3A1,4HOXPACDOX(NADP),G0
ALDH3A1,ALDD19x,G0
ALDH3A1,ALDD19x(P),G0
ALDH3A1,ALDD2x,G0
ALDH3A1,ALDD2y,G0
ALDH3A1,GCALDD,G0
ALDH3A1,GLACO,G0
ALDH3A1,LCADi,G0
ALDH3A1,LCADi_D,G0
ALDH3A1,MACOXO,G0
ALDH3A2,5HOXINDACTOX,G0
ALDH3A2,ALDD20x,G0
ALDH3A2,ALDD21,G0
ALDH3A2,ALDD2x,G0
ALDH3A2,ALDD2y,G0
ALDH3A2,BAMPPALDOX,G0
ALDH3A2,GCALDD,G0
ALDH3A2,GLACO,G0
ALDH3A2,IMACTD,G0
ALDH3A2,LCADi,G0
ALDH3A2,LCADi_D,G0
ALDH3A2,NABTNO,G0
ALDH3A2,PYLALDOX,G0
ALDH3B1,34DHPLACOX,G0
ALDH3B1,34DHPLACOX(NADP),G0
ALDH3B1,34DHXMANDACOX,G0
ALDH3B1,34DHXMANDACOX(NADP),G0
ALDH3B1,3M4HDXPAC,G0
ALDH3B1,3MOX4HOXPGALDOX,G0
ALDH3B1,3MOX4HOXPGALDOX(NADP),G0
ALDH3B1,4HOXPACDOX(NADP),G0
ALDH3B1,ALDD19x,G0
ALDH3B1,ALDD19x(P),G0
ALDH3B1,ALDD2x,G0
ALDH3B1,ALDD2y,G0
ALDH3B1,GCALDD,G0
ALDH3B1,GLACO,G0
ALDH3B1,LCADi,G0
ALDH3B1,LCADi_D,G0
ALDH3B1,MACOXO,G0
ALDH3B2,34DHPLACOX,G0
ALDH3B2,34DHPLACOX(NADP),G0
ALDH3B2,34DHXMANDACOX(NADP),G0
ALDH3B2,3M4HDXPAC,G0
ALDH3B2,3MOX4HOXPGALDOX,G0
ALDH3B2,3MOX4HOXPGALDOX(NADP),G0
ALDH3B2,4HOXPACDOX(NADP),G0
ALDH3B2,ALDD19x,G0
ALDH3B2,ALDD19x(P),G0
ALDH3B2,ALDD2x,G0
ALDH3B2,ALDD2y,G0
ALDH3B2,GCALDD,G0
ALDH3B2,GLACO,G0
ALDH3B2,LCADi,G0
ALDH3B2,LCADi_D,G0
ALDH3B2,MACOXO,G0
ALDH6A1,GCALDDm,G0
ALDH6A1,LCADi_Dm,G0
ALDH6A1,LCADim,G0
ALDH6A1,MMSAD1m,G0
ALDH6A1,MMSAD3m,G0
ALDH7A1,5HOXINDACTOX,G0
ALDH7A1,ALDD20x,G0
ALDH7A1,ALDD2x,G0
ALDH7A1,BAMPPALDOX,G0
ALDH7A1,GCALDD,G0
ALDH7A1,IMACTD,G0
ALDH7A1,LCADi,G0
ALDH7A1,LCADi_D,G0
ALDH7A1,NABTNO,G0
ALDH7A1,PYLALDOX,G0
ALDH9A1,5HOXINDACTOX,G0
ALDH9A1,ABUTD,G0
ALDH9A1,ALDD20x,G0
ALDH9A1,ALDD2x,G0
ALDH9A1,ALDD2y,G0
ALDH9A1,BAMPPALDOX,G0
ALDH9A1,BETALDHx,G0
ALDH9A1,GCALDD,G0
ALDH9A1,GLACO,G0
ALDH9A1,IMACTD,G0
ALDH9A1,LCADi,G0
ALDH9A1,LCADi_D,G0
ALDH9A1,NABTNO,G0
ALDH9A1,PYLALDOX,G0
ALDH9A1,TMABADH,G0
ALDOB,FBA,G0
ALDOB,FBA2,G0
ALDOB,FBA4,G0
ALDOB,FBA5,G0
ALDOC,FBA,G0
ALDOC,FBA2,G0
ALDOC,FBA4,G0
ALG1,BDMT_L,G0
ALG1,BDMT_U,G0
ALG10,DOLPGT3_Ler,G0
ALG10,DOLPGT3_Uer,G0
ALG12,DOLPMT3_Ler,G0
ALG12,DOLPMT3_Uer,G0
ALG5,UDPDOLPT_L,G0
ALG5,UDPDOLPT_U,G0
ALG6,DOLPGT1_Ler,G0
ALG6,DOLPGT1_Uer,G0
ALOX12,ALOX12,G0
ALOX12B,ALOX12R,G0
ALOX15,ALOX15,G0
ALOX15B,ALOX15,G0
ALOX5,ALOX5,G0
ALOX5,ALOX52,G0
ALPI,ALKP,G0
ALPL,ALKP,G0
ALPP,ALKP,G0
ALPPL2,ALKP,G0
AMD1,ADMDC,G0
AMDHD2,AGDC,G0
AMPD1,AMPDA,G0
AMPD3,AMPDA,G0
AMT,GCC2am,G0
AMT,GCC2bim,G0
AMT,GCC2cm,G0
AMT,GCCam,G0
AMT,GCCbim,G0
AMT,GCCcm,G0
AMY2A,AMY1e,G0
AMY2A,AMY2e,G0
AMY2B,AMY1e,G0
AMY2B,AMY2e,G0
ANPEP,AMPTASECG,G0
ANPEP,AMPTASECGe,G0
AOC3,13DAMPPOX,G0
AOC3,42A12BOOX,G0
AOC3,AACTOOR,G0
AOC3,MAOX,G0
AOC3,MHISOR,G0
AOC3,NMPTRCOX,G0
AOC3,PTRCOX1,G0
AOX1,5HOXINDACTO2OX,G0
AOX1,PYDXDH,G0
APRT,ADPT,G0
AQP9,L_LACtcm,G0
AQP9,UREAtm,G0
ARG1,ARGN,G0
ARG2,ARGNm,G0
ARSA,ARSA,G0
ASL,ARGSL,G0
ASPA,NACASPAH,G0
ASRGL1,ASNNm,G0
ATHL1,TREH,G0
ATIC,AICART,G0
ATIC,IMPC,G0
ATP10A,PCFLOPm,G0
ATP10A,PEFLIP,G0
ATP10A,PEFLIPm,G0
ATP10A,PSFLIP,G0
ATP10A,PSFLIPm,G0
ATP1A1,NaKt,G0
ATP1A2,NaKt,G0
ATP1A3,NaKt,G0
ATP1A4,NaKt,G0
ATP1B1,NaKt,G0
ATP1B2,NaKt,G0
ATP1B3,NaKt,G0
ATP1B4,NaKt,G0
ATP2B1,CAATPS,G0
ATP2B2,CAATPS,G0
ATP2B3,CAATPS,G0
ATP2B4,CAATPS,G0
ATP4A,HKt,G0
ATP4B,HKt,G0
ATP5B,ATPS4m,G0
ATP5I,ATPS4m,G0
ATP5L,ATPS4m,G0
ATP6V0A1,ATPasel,G0
ATP6V0A2,ATPasel,G0
ATP6V0B,ATPasel,G0
ATP6V0C,ATPasel,G0
ATP6V0D1,ATPasel,G0
ATP6V0D2,ATPasel,G0
ATP6V1A,ATPasel,G0
ATP6V1B1,ATPasel,G0
ATP6V1B2,ATPasel,G0
ATP6V1C2,ATPasel,G0
ATP6V1D,ATPasel,G0
ATP6V1E1,ATPasel,G0
ATP6V1E2,ATPasel,G0
ATP6V1F,ATPasel,G0
ATP6V1G1,ATPasel,G0
ATP8A1,PEFLIP,G0
ATP8A1,PEFLIPm,G0
ATP8A1,PSFLIP,G0
ATP8A1,PSFLIPm,G0
AUH,C2M26DCOAHLm,G0
AUH,ECOAH1m,G0
AUH,MGCHrm,G0
AUH,PRPNCOAHYDm,G0
AUH,T2M26DCOAHLm,G0
B3GALT4,B3GALT41g,G0
B3GALT4,B3GALT42g,G0
B3GALT4,B3GALT43g,G0
B3GALT4,B3GALT44g,G0
B3GALT6,GALT2g,G0
B3GAT2,GLCATg,G0
B3GNT1,AG13T10g,G0
B3GNT1,AG13T11g,G0
B3GNT1,AG13T12g,G0
B3GNT1,AG13T13g,G0
B3GNT1,AG13T14g,G0
B3GNT1,AG13T15g,G0
B3GNT1,AG13T16g,G0
B3GNT1,AG13T17g,G0
B3GNT1,AG13T18g,G0
B3GNT1,AG13T1g,G0
B3GNT1,AG13T2g,G0
B3GNT1,AG13T3g,G0
B3GNT1,AG13T4g,G0
B3GNT1,AG13T5g,G0
B3GNT1,AG13T6g,G0
B3GNT1,AG13T7g,G0
B3GNT1,AG13T8g,G0
B3GNT1,AG13T9g,G0
B3GNT3,AG13T10g,G0
B3GNT3,AG13T11g,G0
B3GNT3,AG13T12g,G0
B3GNT3,AG13T13g,G0
B3GNT3,AG13T14g,G0
B3GNT3,AG13T15g,G0
B3GNT3,AG13T16g,G0
B3GNT3,AG13T17g,G0
B3GNT3,AG13T18g,G0
B3GNT3,AG13T1g,G0
B3GNT3,AG13T2g,G0
B3GNT3,AG13T3g,G0
B3GNT3,AG13T4g,G0
B3GNT3,AG13T5g,G0
B3GNT3,AG13T6g,G0
B3GNT3,AG13T7g,G0
B3GNT3,AG13T8g,G0
B3GNT3,AG13T9g,G0
B3GNT3,B3GNT310g,G0
B3GNT3,B3GNT311g,G0
B3GNT3,B3GNT312g,G0
B3GNT3,B3GNT313g,G0
B3GNT3,B3GNT314g,G0
B3GNT3,B3GNT315g,G0
B3GNT3,B3GNT31g,G0
B3GNT3,B3GNT32g,G0
B3GNT3,B3GNT33g,G0
B3GNT3,B3GNT34g,G0
B3GNT3,B3GNT35g,G0
B3GNT3,B3GNT36g,G0
B3GNT3,B3GNT37g,G0
B3GNT3,B3GNT38g,G0
B3GNT3,B3GNT39g,G0
B3GNT4,AG13T10g,G0
B3GNT4,AG13T11g,G0
B3GNT4,AG13T12g,G0
B3GNT4,AG13T13g,G0
B3GNT4,AG13T14g,G0
B3GNT4,AG13T15g,G0
B3GNT4,AG13T16g,G0
B3GNT4,AG13T17g,G0
B3GNT4,AG13T18g,G0
B3GNT4,AG13T1g,G0
B3GNT4,AG13T2g,G0
B3GNT4,AG13T3g,G0
B3GNT4,AG13T4g,G0
B3GNT4,AG13T5g,G0
B3GNT4,AG13T6g,G0
B3GNT4,AG13T7g,G0
B3GNT4,AG13T8g,G0
B3GNT4,AG13T9g,G0
B3GNT5,B3GNT51g,G0
B3GNT6,CORE3GTg,G0
B3GNT7,AG13T10g,G0
B3GNT7,AG13T11g,G0
B3GNT7,AG13T12g,G0
B3GNT7,AG13T13g,G0
B3GNT7,AG13T14g,G0
B3GNT7,AG13T15g,G0
B3GNT7,AG13T16g,G0
B3GNT7,AG13T17g,G0
B3GNT7,AG13T18g,G0
B3GNT7,AG13T1g,G0
B3GNT7,AG13T2g,G0
B3GNT7,AG13T3g,G0
B3GNT7,AG13T4g,G0
B3GNT7,AG13T5g,G0
B3GNT7,AG13T6g,G0
B3GNT7,AG13T7g,G0
B3GNT7,AG13T8g,G0
B3GNT7,AG13T9g,G0
B4GALNT1,GALGT1,G0
B4GALNT1,GALGT2,G0
B4GALNT1,GALGT3,G0
B4GALNT1,GALGT4,G0
B4GALT1,G14T10g,G0
B4GALT1,G14T11g,G0
B4GALT1,G14T12g,G0
B4GALT1,G14T13g,G0
B4GALT1,G14T14g,G0
B4GALT1,G14T15g,G0
B4GALT1,G14T16g,G0
B4GALT1,G14T17g,G0
B4GALT1,G14T18g,G0
B4GALT1,G14T19g,G0
B4GALT1,G14T20g,G0
B4GALT1,G14T21g,G0
B4GALT1,G14T2g,G0
B4GALT1,G14T3g,G0
B4GALT1,G14T4g,G0
B4GALT1,G14T5g,G0
B4GALT1,G14T6g,G0
B4GALT1,G14T7g,G0
B4GALT1,G14T8g,G0
B4GALT1,G14T9g,G0
B4GALT1,G14Tg,G0
B4GALT1,UGALGTg,G0
B4GALT3,G14T10g,G0
B4GALT3,G14T11g,G0
B4GALT3,G14T12g,G0
B4GALT3,G14T13g,G0
B4GALT3,G14T14g,G0
B4GALT3,G14T15g,G0
B4GALT3,G14T16g,G0
B4GALT3,G14T17g,G0
B4GALT3,G14T18g,G0
B4GALT3,G14T19g,G0
B4GALT3,G14T20g,G0
B4GALT3,G14T21g,G0
B4GALT3,G14T2g,G0
B4GALT3,G14T3g,G0
B4GALT3,G14T4g,G0
B4GALT3,G14T5g,G0
B4GALT3,G14T6g,G0
B4GALT3,G14T7g,G0
B4GALT3,G14T8g,G0
B4GALT3,G14T9g,G0
B4GALT3,G14Tg,G0
B4GALT5,G14T10g,G0
B4GALT5,G14T11g,G0
B4GALT5,G14T12g,G0
B4GALT5,G14T13g,G0
B4GALT5,G14T14g,G0
B4GALT5,G14T15g,G0
B4GALT5,G14T16g,G0
B4GALT5,G14T17g,G0
B4GALT5,G14T18g,G0
B4GALT5,G14T19g,G0
B4GALT5,G14T20g,G0
B4GALT5,G14T21g,G0
B4GALT5,G14T2g,G0
B4GALT5,G14T3g,G0
B4GALT5,G14T4g,G0
B4GALT5,G14T5g,G0
B4GALT5,G14T6g,G0
B4GALT5,G14T7g,G0
B4GALT5,G14T8g,G0
B4GALT5,G14T9g,G0
B4GALT5,G14Tg,G0
BAAT,BAAT1x,G0
BAAT,BAAT2x,G0
BAAT,BAAT3x,G0
BAAT,BAAT4x,G0
BAAT,BAAT5x,G0
BBOX1,BBHOX,G0
BCAT1,ILETA,G0
BCAT1,LEUTA,G0
BCAT1,VALTA,G0
BCAT2,ILETAm,G0
BCAT2,LEUTAm,G0
BCAT2,VALTAm,G0
BCKDHA,OIVD1m,G0
BCKDHA,OIVD2m,G0
BCKDHA,OIVD3m,G0
BCMO1,BCDO,G0
BHMT,BHMT,G0
BHMT2,BHMT,G0
BLVRA,BILIRED,G0
BLVRB,BILIRED,G0
BPNT1,BPNT,G0
BPNT1,BPNT2,G0
BTD,BTND1,G0
BTD,BTND1n,G0
BTD,BTNDe,G0
BTD,BTNDm,G0
C1GALT1,N3Tg,G0
C9orf95,RNMK,G0
CA1,H2CO3D,G0
CA13,H2CO3D,G0
CA14,H2CO3D,G0
CA2,H2CO3D,G0
CA3,H2CO3D,G0
CA4,H2CO3D,G0
CA5A,H2CO3Dm,G0
CA9,H2CO3D,G0
CAD,ASPCTr,G0
CAD,CBPS,G0
CAD,DHORTS,G0
CANT1,NDP10ex,G0
CANT1,NDP3ex,G0
CANT1,NDP7ex,G0
CANT1,NDP8ex,G0
CANT1,NTP3e,G0
CAT,CAT2p,G0
CAT,CATm,G0
CAT,CATp,G0
CBR1,CBR1,G0
CBR1,CBR2,G0
CBS,CYSTS,G0
CBS,SELCYSTS,G0
CCBL1,3HKYNAKGAT,G0
CCBL1,KYNAKGAT,G0
CD38,ADPRIBt,G0
CD38,NADNe,G0
CD38,NADPNe,G0
CDA,CYTD,G0
CDA,DCYTD,G0
CDO1,CYSO,G0
CDS1,CDS,G0
CDS2,CDSm,G0
CEPT1,CEPTC,G0
CEPT1,CEPTE,G0
CES2,COKECBESr,G0
CHDH,CHOLD2m,G0
CHIT1,CHTNASE,G0
CHPF,GALNACT2g,G0
CHPF,GALNACT3g,G0
CHPF,GALNACT4g,G0
CHPF,GALNACT5g,G0
CHPF,GLCAT2g,G0
CHPF,GLCAT3g,G0
CHPF,GLCAT4g,G0
CHPF,GLCAT5g,G0
CHPF2,GLCAT2g,G0
CHPF2,GLCAT3g,G0
CHPF2,GLCAT4g,G0
CHPF2,GLCAT5g,G0
CHPT1,CEPTC,G0
CHST1,S6T15g,G0
CHST1,S6T18g,G0
CHST1,S6T3g,G0
CHST11,S4T1g,G0
CHST11,S4T2g,G0
CHST11,S4T3g,G0
CHST11,S4T6g,G0
CHST12,S4T1g,G0
CHST12,S4T2g,G0
CHST12,S4T3g,G0
CHST12,S4T6g,G0
CHST13,S4T1g,G0
CHST13,S4T2g,G0
CHST13,S4T3g,G0
CHST13,S4T6g,G0
CHST14,S4T1g,G0
CHST14,S4T2g,G0
CHST14,S4T3g,G0
CHST14,S4T6g,G0
CHST2,S6T10g,G0
CHST2,S6T11g,G0
CHST2,S6T12g,G0
CHST2,S6T13g,G0
CHST2,S6T14g,G0
CHST2,S6T16g,G0
